X,Y,Z,I,J,K
-5850.3292,311.1217,1812.7121,0.0788446,0.2403901,0.9674689
-5850.3093,412.382,1783.6743,0.0755554,0.3086431,0.9481724
-5850.2879,511.3792,1747.5833,0.0718544,0.3737929,0.9247247
-5850.2659,607.7052,1704.7909,0.0678387,0.4354302,0.8976628
-5850.2441,701.0126,1655.6849,0.0636166,0.4931301,0.8676264
-5850.223,791.0044,1600.6738,0.0592692,0.5471966,0.834903
-5850.2034,877.4341,1540.1577,0.0549039,0.5972234,0.8001936
-5850.1855,960.1097,1474.5548,0.0506081,0.6433574,0.7638914
-5850.1696,1038.8793,1404.2685,0.0464665,0.6856834,0.7264153
-5850.1561,1113.7275,1329.767,0.0426429,0.7234778,0.6890293
-5850.1441,1184.3769,1251.2715,0.0388945,0.7609239,0.6476743
-5850.1342,1250.7229,1169.0642,0.0355057,0.7939759,0.6069115
-5850.1262,1312.7276,1083.4972,0.0325174,0.8232488,0.5667486
-5850.12,1370.5675,995.0475,0.0299803,0.8500314,0.5258781
-5850.1146,1423.6558,903.6907,0.0274836,0.8778021,0.4782344
-5850.1106,1471.8561,809.6247,0.0254435,0.900919,0.4332409
-5850.1074,1515.0608,713.1697,0.0235994,0.9228703,0.384387
